app_name,data_type,title,content,keywords
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,faq,Why are my posts not showing?,"Check internet, refresh feed, ensure account is not shadowbanned.","posts, not showing, issues"
Instagram,tutorial,How to Post a Photo,"Open the app, click +, choose photo, apply filter, share.","post, photo, share"
Instagram,faq,How to recover a hacked account?,"Use 'Forgot password', contact support if email changed.","hacked, recover, security"
Instagram,tutorial,How to Use Stories,"Tap your profile picture, add media, share story.","stories, share, photo, video"
Instagram,feature,IGTV,Longer videos up to 60 minutes,"igtv, long video, streaming"
Instagram,faq,How to make account private?,Go to settings → privacy → toggle private account.,"private, account, settings"
Instagram,tutorial,How to Shop on Instagram,"Browse tagged products, tap buy now, checkout.","shopping, buy, checkout"
Instagram,faq,Why are my posts not showing?,"Check internet, refresh feed, ensure account is not shadowbanned.","posts, not showing, issues"
Instagram,faq,Why are my posts not showing?,"Check internet, refresh feed, ensure account is not shadowbanned.","posts, not showing, issues"
Instagram,tutorial,How to Shop on Instagram,"Browse tagged products, tap buy now, checkout.","shopping, buy, checkout"
Instagram,tutorial,How to Create an Account,Step by step guide to sign up on Instagram,"account, signup, create"
Instagram,feature,Hashtags,Use hashtags to increase content reach,"hashtags, search, tags"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,description,Business Tools,Instagram provides analytics and promotion features for business accounts.,"business, analytics, promotion"
Instagram,feature,Ads,Businesses can run targeted ads,"ads, business, targeting"
Instagram,feature,Shopping,Sell and buy products directly in-app,"shopping, ecommerce, buy, sell"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,faq,Why can't I log in?,"Make sure your username and password are correct, reset if forgotten.","login, password, issue"
Instagram,tutorial,How to Create an Account,Step by step guide to sign up on Instagram,"account, signup, create"
Instagram,feature,Live,Go live to interact with followers in real-time,"live, stream, broadcast"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,tutorial,How to Create an Account,Step by step guide to sign up on Instagram,"account, signup, create"
Instagram,faq,How to make account private?,Go to settings → privacy → toggle private account.,"private, account, settings"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,tutorial,How to Use Stories,"Tap your profile picture, add media, share story.","stories, share, photo, video"
Instagram,feature,Direct Messaging,Private messages with users and groups,"dm, chat, private messaging"
Instagram,tutorial,How to Go Live,"Swipe right, choose Live, tap button to broadcast.","live, broadcast, followers"
Instagram,description,Community Guidelines,Instagram enforces policies to keep users safe and respectful.,"guidelines, rules, community"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,description,Community Guidelines,Instagram enforces policies to keep users safe and respectful.,"guidelines, rules, community"
Instagram,faq,Why can't I log in?,"Make sure your username and password are correct, reset if forgotten.","login, password, issue"
Instagram,faq,How to make account private?,Go to settings → privacy → toggle private account.,"private, account, settings"
Instagram,faq,How to recover a hacked account?,"Use 'Forgot password', contact support if email changed.","hacked, recover, security"
Instagram,faq,How do I verify my account?,Go to settings → account → request verification.,"verify, blue tick, account"
Instagram,feature,Reels,Short video clips with audio and effects,"reels, short video, clips"
Instagram,tutorial,How to Shop on Instagram,"Browse tagged products, tap buy now, checkout.","shopping, buy, checkout"
Instagram,faq,Why can't I log in?,"Make sure your username and password are correct, reset if forgotten.","login, password, issue"
Instagram,faq,How to recover a hacked account?,"Use 'Forgot password', contact support if email changed.","hacked, recover, security"
Instagram,tutorial,How to Use Stories,"Tap your profile picture, add media, share story.","stories, share, photo, video"
Instagram,feature,Ads,Businesses can run targeted ads,"ads, business, targeting"
Instagram,faq,How do I verify my account?,Go to settings → account → request verification.,"verify, blue tick, account"
Instagram,tutorial,How to Create an Account,Step by step guide to sign up on Instagram,"account, signup, create"
Instagram,feature,Explore Tab,Discover trending content and accounts,"explore, trending, discover"
Instagram,description,Community Guidelines,Instagram enforces policies to keep users safe and respectful.,"guidelines, rules, community"
Instagram,tutorial,How to Use Stories,"Tap your profile picture, add media, share story.","stories, share, photo, video"
Instagram,feature,Live,Go live to interact with followers in real-time,"live, stream, broadcast"
Instagram,tutorial,How to Go Live,"Swipe right, choose Live, tap button to broadcast.","live, broadcast, followers"
Instagram,tutorial,How to Post a Photo,"Open the app, click +, choose photo, apply filter, share.","post, photo, share"
Instagram,tutorial,How to Post a Photo,"Open the app, click +, choose photo, apply filter, share.","post, photo, share"
Instagram,description,Business Tools,Instagram provides analytics and promotion features for business accounts.,"business, analytics, promotion"
Instagram,feature,Reels,Short video clips with audio and effects,"reels, short video, clips"
Instagram,feature,Shopping,Sell and buy products directly in-app,"shopping, ecommerce, buy, sell"
Instagram,feature,Live,Go live to interact with followers in real-time,"live, stream, broadcast"
Instagram,description,Business Tools,Instagram provides analytics and promotion features for business accounts.,"business, analytics, promotion"
Instagram,tutorial,How to Shop on Instagram,"Browse tagged products, tap buy now, checkout.","shopping, buy, checkout"
Instagram,faq,Why can't I log in?,"Make sure your username and password are correct, reset if forgotten.","login, password, issue"
Instagram,tutorial,How to Use Stories,"Tap your profile picture, add media, share story.","stories, share, photo, video"
Instagram,faq,Why are my posts not showing?,"Check internet, refresh feed, ensure account is not shadowbanned.","posts, not showing, issues"
Instagram,feature,Stories,Create short-lived content that disappears after 24h,"stories, ephemeral, content"
Instagram,faq,Why can't I log in?,"Make sure your username and password are correct, reset if forgotten.","login, password, issue"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,faq,How do I verify my account?,Go to settings → account → request verification.,"verify, blue tick, account"
Instagram,feature,Live,Go live to interact with followers in real-time,"live, stream, broadcast"
Instagram,tutorial,How to Create an Account,Step by step guide to sign up on Instagram,"account, signup, create"
Instagram,feature,Posting Photos,How to share photos with followers,"post, share, photos, upload"
Instagram,description,Business Tools,Instagram provides analytics and promotion features for business accounts.,"business, analytics, promotion"
Instagram,faq,How do I verify my account?,Go to settings → account → request verification.,"verify, blue tick, account"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,faq,How to recover a hacked account?,"Use 'Forgot password', contact support if email changed.","hacked, recover, security"
Instagram,feature,Shopping,Sell and buy products directly in-app,"shopping, ecommerce, buy, sell"
Instagram,description,Community Guidelines,Instagram enforces policies to keep users safe and respectful.,"guidelines, rules, community"
Instagram,description,Community Guidelines,Instagram enforces policies to keep users safe and respectful.,"guidelines, rules, community"
Instagram,faq,Why can't I log in?,"Make sure your username and password are correct, reset if forgotten.","login, password, issue"
Instagram,faq,Why can't I log in?,"Make sure your username and password are correct, reset if forgotten.","login, password, issue"
Instagram,description,Community Guidelines,Instagram enforces policies to keep users safe and respectful.,"guidelines, rules, community"
Instagram,tutorial,How to Go Live,"Swipe right, choose Live, tap button to broadcast.","live, broadcast, followers"
Instagram,feature,Stories,Create short-lived content that disappears after 24h,"stories, ephemeral, content"
Instagram,description,Community Guidelines,Instagram enforces policies to keep users safe and respectful.,"guidelines, rules, community"
Instagram,faq,How to make account private?,Go to settings → privacy → toggle private account.,"private, account, settings"
Instagram,faq,How to recover a hacked account?,"Use 'Forgot password', contact support if email changed.","hacked, recover, security"
Instagram,description,Business Tools,Instagram provides analytics and promotion features for business accounts.,"business, analytics, promotion"
Instagram,feature,Live,Go live to interact with followers in real-time,"live, stream, broadcast"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,description,Business Tools,Instagram provides analytics and promotion features for business accounts.,"business, analytics, promotion"
Instagram,feature,Ads,Businesses can run targeted ads,"ads, business, targeting"
Instagram,description,Business Tools,Instagram provides analytics and promotion features for business accounts.,"business, analytics, promotion"
Instagram,faq,How to make account private?,Go to settings → privacy → toggle private account.,"private, account, settings"
Instagram,feature,Reels,Short video clips with audio and effects,"reels, short video, clips"
Instagram,description,Business Tools,Instagram provides analytics and promotion features for business accounts.,"business, analytics, promotion"
Instagram,description,Community Guidelines,Instagram enforces policies to keep users safe and respectful.,"guidelines, rules, community"
Instagram,tutorial,How to Use Stories,"Tap your profile picture, add media, share story.","stories, share, photo, video"
Instagram,description,Business Tools,Instagram provides analytics and promotion features for business accounts.,"business, analytics, promotion"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,feature,Hashtags,Use hashtags to increase content reach,"hashtags, search, tags"
Instagram,faq,Why can't I log in?,"Make sure your username and password are correct, reset if forgotten.","login, password, issue"
Instagram,feature,Posting Photos,How to share photos with followers,"post, share, photos, upload"
Instagram,faq,Why are my posts not showing?,"Check internet, refresh feed, ensure account is not shadowbanned.","posts, not showing, issues"
Instagram,feature,Posting Photos,How to share photos with followers,"post, share, photos, upload"
Instagram,description,Community Guidelines,Instagram enforces policies to keep users safe and respectful.,"guidelines, rules, community"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,description,Business Tools,Instagram provides analytics and promotion features for business accounts.,"business, analytics, promotion"
Instagram,faq,How to make account private?,Go to settings → privacy → toggle private account.,"private, account, settings"
Instagram,tutorial,How to Post a Photo,"Open the app, click +, choose photo, apply filter, share.","post, photo, share"
Instagram,feature,Explore Tab,Discover trending content and accounts,"explore, trending, discover"
Instagram,description,Business Tools,Instagram provides analytics and promotion features for business accounts.,"business, analytics, promotion"
Instagram,tutorial,How to Create an Account,Step by step guide to sign up on Instagram,"account, signup, create"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,description,Business Tools,Instagram provides analytics and promotion features for business accounts.,"business, analytics, promotion"
Instagram,faq,Why can't I log in?,"Make sure your username and password are correct, reset if forgotten.","login, password, issue"
Instagram,tutorial,How to Use Stories,"Tap your profile picture, add media, share story.","stories, share, photo, video"
Instagram,tutorial,How to Shop on Instagram,"Browse tagged products, tap buy now, checkout.","shopping, buy, checkout"
Instagram,faq,How do I verify my account?,Go to settings → account → request verification.,"verify, blue tick, account"
Instagram,faq,Why are my posts not showing?,"Check internet, refresh feed, ensure account is not shadowbanned.","posts, not showing, issues"
Instagram,faq,Why can't I log in?,"Make sure your username and password are correct, reset if forgotten.","login, password, issue"
Instagram,tutorial,How to Use Stories,"Tap your profile picture, add media, share story.","stories, share, photo, video"
Instagram,description,Instagram Overview,Instagram is a social networking app focused on photo and video sharing.,"overview, social, network"
Instagram,feature,Live,Go live to interact with followers in real-time,"live, stream, broadcast"
Instagram,feature,Shopping,Sell and buy products directly in-app,"shopping, ecommerce, buy, sell"
Instagram,feature,Stories,Create short-lived content that disappears after 24h,"stories, ephemeral, content"
